prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,"在src/services/exhibition_service.rs中实现临展调配审批流：当前创建临展记录直接生效，没有审批环节。请改为：创建临展时状态为""待审批""，管理员审批通过后检查文物状态——只有status为""在库""的文物才能调出参展，调出后文物状态自动改为""展出中""。需要修改Exhibition和Artifact结构体添加状态字段，新增approve_exhibition方法使用事务保证审批和文物状态变更的原子性",gpt-5.4,困难,代码生成,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
1,"在src/services/exhibition_service.rs中实现临展调配审批流：当前创建临展记录直接生效，没有审批环节。请改为：创建临展时状态为""待审批""，管理员审批通过后检查文物状态——只有status为""在库""的文物才能调出参展，调出后文物状态自动改为""展出中""。需要修改Exhibition和Artifact结构体添加状态字段，新增approve_exhibition方法使用事务保证审批和文物状态变更的原子性",gemini-3.1-p,困难,代码生成,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
1,"在src/services/exhibition_service.rs中实现临展调配审批流：当前创建临展记录直接生效，没有审批环节。请改为：创建临展时状态为""待审批""，管理员审批通过后检查文物状态——只有status为""在库""的文物才能调出参展，调出后文物状态自动改为""展出中""。需要修改Exhibition和Artifact结构体添加状态字段，新增approve_exhibition方法使用事务保证审批和文物状态变更的原子性",DeepSeek-V4-Pro,困难,代码生成,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
1,"在src/services/exhibition_service.rs中实现临展调配审批流：当前创建临展记录直接生效，没有审批环节。请改为：创建临展时状态为""待审批""，管理员审批通过后检查文物状态——只有status为""在库""的文物才能调出参展，调出后文物状态自动改为""展出中""。需要修改Exhibition和Artifact结构体添加状态字段，新增approve_exhibition方法使用事务保证审批和文物状态变更的原子性",Doubao-Seed-2.0-Code,困难,代码生成,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
1,"在src/services/exhibition_service.rs中实现临展调配审批流：当前创建临展记录直接生效，没有审批环节。请改为：创建临展时状态为""待审批""，管理员审批通过后检查文物状态——只有status为""在库""的文物才能调出参展，调出后文物状态自动改为""展出中""。需要修改Exhibition和Artifact结构体添加状态字段，新增approve_exhibition方法使用事务保证审批和文物状态变更的原子性",GLM-5.1,困难,代码生成,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
2,src/services/reservation_service.rs的create_reservation方法存在Bug：未校验展览的容量上限（capacity字段），可能导致超额预约。同时未检查预约日期是否在展览的日期范围内（start_date到end_date），允许预约未开始或已结束的展览。请修复这两个校验，超额时返回友好错误信息,gpt-5.4,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
2,src/services/reservation_service.rs的create_reservation方法存在Bug：未校验展览的容量上限（capacity字段），可能导致超额预约。同时未检查预约日期是否在展览的日期范围内（start_date到end_date），允许预约未开始或已结束的展览。请修复这两个校验，超额时返回友好错误信息,gemini-3.1-p,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
2,src/services/reservation_service.rs的create_reservation方法存在Bug：未校验展览的容量上限（capacity字段），可能导致超额预约。同时未检查预约日期是否在展览的日期范围内（start_date到end_date），允许预约未开始或已结束的展览。请修复这两个校验，超额时返回友好错误信息,DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
2,src/services/reservation_service.rs的create_reservation方法存在Bug：未校验展览的容量上限（capacity字段），可能导致超额预约。同时未检查预约日期是否在展览的日期范围内（start_date到end_date），允许预约未开始或已结束的展览。请修复这两个校验，超额时返回友好错误信息,Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
2,src/services/reservation_service.rs的create_reservation方法存在Bug：未校验展览的容量上限（capacity字段），可能导致超额预约。同时未检查预约日期是否在展览的日期范围内（start_date到end_date），允许预约未开始或已结束的展览。请修复这两个校验，超额时返回友好错误信息,Qwen3.6-Plus,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","文物入库,养护记录,临展调配,修复台账,参观预约"
